threshold,total_cost,fp,fn,tp,tn
0.01,1456.0,256,12,24,22489
0.03,1569.0,169,14,22,22576
0.05,1867.0,67,18,18,22678
0.07,1867.0,67,18,18,22678
0.09,1867.0,67,18,18,22678
0.11,2232.0,32,22,14,22713
0.13,2232.0,32,22,14,22713
0.15,2232.0,32,22,14,22713
0.17,2232.0,32,22,14,22713
0.19,2232.0,32,22,14,22713
0.21,2232.0,32,22,14,22713
0.23,2714.0,14,27,9,22731
0.25,2714.0,14,27,9,22731
0.27,2714.0,14,27,9,22731
0.29,2714.0,14,27,9,22731
0.31,3105.0,5,31,5,22740
0.33,3105.0,5,31,5,22740
0.35,3105.0,5,31,5,22740
0.37,3105.0,5,31,5,22740
0.39,3105.0,5,31,5,22740
0.41,3302.0,2,33,3,22743
0.43,3302.0,2,33,3,22743
0.45,3302.0,2,33,3,22743
0.47,3302.0,2,33,3,22743
0.49,3302.0,2,33,3,22743
0.51,3302.0,2,33,3,22743
0.53,3302.0,2,33,3,22743
0.55,3302.0,2,33,3,22743
0.57,3302.0,2,33,3,22743
0.59,3302.0,2,33,3,22743
0.61,3600.0,0,36,0,22745
0.63,3600.0,0,36,0,22745
0.65,3600.0,0,36,0,22745
0.67,3600.0,0,36,0,22745
0.69,3600.0,0,36,0,22745
0.71,3600.0,0,36,0,22745
0.73,3600.0,0,36,0,22745
0.75,3600.0,0,36,0,22745
0.77,3600.0,0,36,0,22745
0.79,3600.0,0,36,0,22745
0.81,3600.0,0,36,0,22745
0.83,3600.0,0,36,0,22745
0.85,3600.0,0,36,0,22745
0.87,3600.0,0,36,0,22745
0.89,3600.0,0,36,0,22745
0.91,3600.0,0,36,0,22745
0.93,3600.0,0,36,0,22745
0.95,3600.0,0,36,0,22745
0.97,3600.0,0,36,0,22745
0.99,3600.0,0,36,0,22745
