target_recall,threshold,actual_recall,precision,f1,model
0.3,0.9959038515380954,0.3888888888888889,0.30434782608695654,0.34146341463414637,LogisticRegression
0.35,0.9959038515380954,0.3888888888888889,0.30434782608695654,0.34146341463414637,LogisticRegression
0.4,0.9935391848259478,0.4166666666666667,0.23076923076923078,0.297029702970297,LogisticRegression
0.45,0.9926871316512077,0.4722222222222222,0.22666666666666666,0.3063063063063063,LogisticRegression
0.5,0.990868498118073,0.5,0.21176470588235294,0.2975206611570248,LogisticRegression
0.55,0.9800279533123328,0.5555555555555556,0.14814814814814814,0.23391812865497075,LogisticRegression
0.6,0.9695971986795887,0.6111111111111112,0.11518324607329843,0.19383259911894274,LogisticRegression
0.3,0.4770238379784987,0.3055555555555556,0.16417910447761194,0.21359223300970873,RandomForest
0.35,0.4659630682333695,0.3611111111111111,0.15853658536585366,0.22033898305084745,RandomForest
0.4,0.40201800651258884,0.4166666666666667,0.08287292817679558,0.1382488479262673,RandomForest
0.45,0.3553123326713525,0.4722222222222222,0.04415584415584416,0.08076009501187649,RandomForest
0.5,0.3433702788542878,0.5,0.0392156862745098,0.07272727272727272,RandomForest
0.55,0.30276967250001346,0.6388888888888888,0.03116531165311653,0.059431524547803614,RandomForest
0.6,0.30276967250001346,0.6388888888888888,0.03116531165311653,0.059431524547803614,RandomForest
0.3,0.9718629717826843,0.3055555555555556,0.02588235294117647,0.04772234273318872,XGBoost
0.35,0.968691885471344,0.3611111111111111,0.021922428330522766,0.04133545310015898,XGBoost
0.4,0.9638581871986389,0.4166666666666667,0.02021563342318059,0.038560411311053984,XGBoost
0.45,0.9608423113822937,0.4722222222222222,0.018085106382978722,0.03483606557377049,XGBoost
0.5,0.9581351280212402,0.5277777777777778,0.015586546349466776,0.030278884462151396,XGBoost
0.55,0.9353147745132446,0.7777777777777778,0.014500258933195235,0.028469750889679714,XGBoost
0.6,0.9353147745132446,0.7777777777777778,0.014500258933195235,0.028469750889679714,XGBoost
0.3,3.5884829445222784e-32,0.3055555555555556,0.005076142131979695,0.009986382206082615,LightGBM
0.35,3.701023964814191e-53,0.3611111111111111,0.0020602218700475437,0.0040970690198550265,LightGBM
0.4,0.0,1.0,0.0015802642553004696,0.0031555419204978745,LightGBM
0.45,0.0,1.0,0.0015802642553004696,0.0031555419204978745,LightGBM
0.5,0.0,1.0,0.0015802642553004696,0.0031555419204978745,LightGBM
0.55,0.0,1.0,0.0015802642553004696,0.0031555419204978745,LightGBM
0.6,0.0,1.0,0.0015802642553004696,0.0031555419204978745,LightGBM
