rule,precision,recall,f1,coverage,lift,n_flagged,n_fraud_hit,n_fraud_total,n_conditions,source
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Transaction Amount (EUR) > 9.94 AND Merchant Transaction Count > 5049.50,0.0082,0.7222,0.0163,0.138449,5.22,3154,26,36,6,surrogate_d6_true_label
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count <= 5049.50 AND Transaction Amount (EUR) > 15.88,0.0071,0.0278,0.0113,0.006189,4.49,141,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Card Average Amount (EUR) <= 99.99 AND Log Transaction Amount > 2.77,0.0065,0.5833,0.0129,0.141082,4.13,3214,21,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count > 5049.50 AND Day of Month <= 30.50,0.0064,0.5278,0.0126,0.131162,4.02,2988,19,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Log Transaction Amount > 2.39 AND Merchant Transaction Count > 5049.50,0.0064,0.5278,0.0126,0.131162,4.02,2988,19,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Transaction Amount (EUR) > 9.94,0.0062,0.9444,0.0122,0.242483,3.89,5524,34,36,5,surrogate_d5_true_label
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50 AND Card Average Amount (EUR) <= 99.99,0.0061,0.5833,0.0121,0.151179,3.86,3444,21,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount Capped (EUR) <= 111.06 AND Transaction Amount (EUR) > 9.91,0.0061,0.5833,0.012,0.151969,3.84,3462,21,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 30 days) <= 1.50,0.006,0.5833,0.0119,0.153286,3.81,3492,21,36,3,surrogate_d3_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Transaction Amount (EUR) <= 111.06 AND Transaction Amount Capped (EUR) > 9.91,0.0058,0.5833,0.0115,0.158597,3.68,3613,21,36,5,surrogate_d5_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount > 5.79 AND CVV Used = Yes,0.0057,0.0278,0.0094,0.007726,3.6,176,1,36,6,surrogate_d6_model_score
Transaction Success = Yes AND Card Txn Count (last 14 days) <= 1.50 AND Log Transaction Amount <= 4.72,0.0057,0.5833,0.0113,0.161889,3.6,3688,21,36,4,surrogate_d4_model_score
Transaction Success = Yes AND Card Average Amount (EUR) <= 128.89 AND Transaction Amount (EUR) > 9.88,0.0057,0.5833,0.0112,0.162636,3.59,3705,21,36,4,surrogate_d4_model_score
